scrape_time,measurement_time,wind_speed,wind_speed_max,direction,online
2020-04-06 18:56:17.986625,2020-04-06 18:55:00.000000,13.8326,15.5,237.073,1
2020-04-06 20:03:03.564874,2020-04-06 19:04:00.000000,14.1378,16.6,237.884,1
2020-04-06 20:03:03.564874,2020-04-06 19:06:00.000000,13.2143,14.8,239.222,1
2020-04-06 20:03:03.564874,2020-04-06 19:08:00.000000,12.581,13.8,238.865,1
2020-04-06 20:03:03.564874,2020-04-06 19:10:00.000000,12.16,13.7,236.729,1
2020-04-06 20:03:03.564874,2020-04-06 19:12:00.000000,12.6087,15.2,236.122,1
2020-04-06 20:03:03.564874,2020-04-06 19:14:00.000000,12.2727,14.4,237.386,1
2020-04-06 20:03:03.564874,2020-04-06 19:16:00.000000,12.2675,13.7,237.592,1
2020-04-06 20:03:03.564874,2020-04-06 19:18:00.000000,11.6605,12.8,235.492,1
2020-04-06 20:03:03.564874,2020-04-06 19:20:00.000000,11.2652,12.8,234.209,1
2020-04-06 20:03:03.564874,2020-04-06 19:22:00.000000,11.237,12.4,235.687,1
2020-04-06 20:03:03.564874,2020-04-06 19:24:00.000000,10.931,12.7,235.96,1
2020-04-06 20:03:03.564874,2020-04-06 19:26:00.000000,10.531,12.2,235.484,1
2020-04-06 20:03:03.564874,2020-04-06 19:28:00.000000,10.2556,11.5,235.862,1
2020-04-06 20:03:03.564874,2020-04-06 19:30:00.000000,9.90217,12,233.817,1
2020-04-06 20:03:03.564874,2020-04-06 19:32:00.000000,10.1614,11,230.113,1
2020-04-06 20:03:03.564874,2020-04-06 19:34:00.000000,10.0878,11.5,231.013,1
2020-04-06 20:03:03.564874,2020-04-06 19:36:00.000000,10.0814,11.6,229.143,1
2020-04-06 20:03:03.564874,2020-04-06 19:38:00.000000,10.5283,12,229.948,1
2020-04-06 20:03:03.564874,2020-04-06 19:40:00.000000,10.487,11.9,232.578,1
2020-04-06 20:03:03.564874,2020-04-06 19:42:00.000000,10.4349,11.7,232.934,1
2020-04-06 20:03:03.564874,2020-04-06 19:44:00.000000,10.122,11.7,231.963,1
2020-04-06 20:03:03.564874,2020-04-06 19:46:00.000000,9.90444,11.4,230.772,1
2020-04-06 20:03:03.564874,2020-04-06 19:48:00.000000,9.53696,10.9,229.187,1
2020-04-06 20:03:03.564874,2020-04-06 19:50:00.000000,9.26818,11,227.636,1
2020-04-06 20:03:03.564874,2020-04-06 19:52:00.000000,10.2439,12.1,230.598,1
2020-04-06 20:03:03.564874,2020-04-06 19:54:00.000000,10.2884,11.3,232.282,1
2020-04-06 20:03:03.564874,2020-04-06 19:56:00.000000,9.40217,10.8,227.861,1
2020-04-06 20:03:03.564874,2020-04-06 19:58:00.000000,9.76383,11.5,228.584,1
2020-04-06 20:03:03.564874,2020-04-06 20:00:00.000000,10.6488,12.9,231.678,1
2020-04-06 20:03:03.564874,2020-04-06 20:02:00.000000,11.3683,13.1,232.769,1
2020-04-06 21:52:13.062443,2020-04-06 20:53:00.000000,11.8262,13.9,224.054,1
2020-04-06 21:52:13.062443,2020-04-06 20:55:00.000000,12.2422,15.1,223.706,1
2020-04-06 21:52:13.062443,2020-04-06 20:57:00.000000,12.7064,15.2,224.352,1
2020-04-06 21:52:13.062443,2020-04-06 20:59:00.000000,12.8841,14.8,224.705,1
2020-04-06 21:52:13.062443,2020-04-06 21:01:00.000000,12.661,15.2,226.257,1
2020-04-06 21:52:13.062443,2020-04-06 21:03:00.000000,12.786,15.6,229.12,1
2020-04-06 21:52:13.062443,2020-04-06 21:05:00.000000,13.3978,16.2,224.904,1
2020-04-06 21:52:13.062443,2020-04-06 21:07:00.000000,14.4587,17.4,227.709,1
